"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Welikite","Butajira","Hosahna","Shone","Doyugena","Alaba","Awasa","Hagere- Selam ","Dilla","Yirega-¦ chefie "
"1","CEREALS UNMILLED","'Teff' White ","Kg ","14.37","14.66","15.42","14.16","16.00","15.00","16.55","17.50","17.17","15.90"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","12.66","13.24","13.92","13.16","14.50","14.50","14.75","-","13.16","12.00"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","-","12.21","-","11.00","-","-","12.85","11.50","11.16","-"
"4","CEREALS UNMILLED","Wheat White","Kg ","7.83","8.30","8.00","7.30","7.50","7.50","9.00","7.02","9.49","9.00"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","-","10.47","-","-","-","-","8.00","-","8.14","9.00"
"7","CEREALS UNMILLED","Barley White","Kg ","9.70","7.85","11.00","8.00","7.80","9.00","9.00","6.03","9.65","9.32"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","-","-","-","7.10","-","-","-","-","-","-"
"9","CEREALS UNMILLED","Barley Black","Kg ","9.63","8.33","10.00","8.90","7.80","9.00","8.65","-","10.97","-"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","-","10.30","-","-","9.00","-","8.00","9.00"
"11","CEREALS UNMILLED","Maize (White)","Kg ","5.76","6.89","6.50","5.77","-","-","6.43","5.57","6.00","5.53"
"12","CEREALS UNMILLED","Durrah","Kg ","-","-","-","-","-","-","-","-","-","-"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","8.83","10.67","-","-","-","-","9.80","-","-","-"
"14","CEREALS UNMILLED","Sorghum White","Kg ","-","-","-","-","-","-","10.49","-","-","-"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","6.83","6.67","6.00","-","7.41","4.30","8.00","-","-","-"
"16","CEREALS UNMILLED","African Millet","Kg ","-","14.42","-","-","-","8.00","8.32","-","9.00","-"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","16.00","15.33","18.00","16.66","16.00","16.00","16.00","16.00","16.00","17.00"
"18","CEREALS UNMILLED","Oats","Kg ","-","17.33","-","-","-","-","-","18.00","17.66","19.00"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","-","-","-","-","-","-","-","-","-","-"
"20","CEREALS MILLED","'Teff' White","Kg ","-","-","-","16.00","-","-","-","-","17.17","16.75"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","-","-","-","-","-","-","14.00","15.49","13.00"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-","-","-","13.00","-","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","-","-","-","-","-","-","-","-","-"
"24","CEREALS MILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"25","CEREALS MILLED","Barley White","Kg ","-","-","-","-","-","-","-","-","-","-"
